Title,Date,Company
submit cv s latest recruitment at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
submit cv s new recruitment at comways foundation,02/27/2023,comways foundation
submit cv s latest recruitment at unicef,02/27/2023,unicef
vice chancellor 1 post at pwani university,02/28/2023,pwani university
deputy vice chancellor administration plannings and finance 1 position at kisii university,02/28/2023,kisii university
vice chancellor 1 position at kisii university,02/28/2023,kisii university
lead channel sales rep at honeywell,02/28/2023,honeywell
supervisor at smollan,02/28/2023,smollan
operations support manager africa at practical action kenya,02/28/2023,practical action kenya
rhino programme officer at world wide fund for nature wwf kenya,02/28/2023,world wide fund for nature wwf kenya
training coordinator health system management development at amref international university amiu ,02/28/2023,amref international university amiu 
lecturer health systems management and development at amref international university amiu ,02/28/2023,amref international university amiu 
carbon financial analyst at burn manufacturing,02/28/2023,burn manufacturing
finance intern at british american tobacco bat ,02/28/2023,british american tobacco bat 
head of health sector at equity bank kenya,02/28/2023,equity bank kenya
chief division of conference services d1 at united nations office at nairobi unon ,02/28/2023,united nations office at nairobi unon 
fixed income trader at kingdom bank limited,02/28/2023,kingdom bank limited
human resource intern at amref kenya,02/28/2023,amref kenya
africa freshwater protection specialist at nature conservancy,02/28/2023,nature conservancy
deputy vice chancellor planning finance and administration at karatina university,02/28/2023,karatina university
deputy vice chancellor academic research and student affairs at karatina university,02/28/2023,karatina university
vice chancellor at karatina university,02/28/2023,karatina university
acess to finance officer transform project at heifer international,02/28/2023,heifer international
sales executive reale estate land sale at fanisi hr solutions,02/28/2023,fanisi hr solutions
submit cv s latest recruitment at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
submit cv s new recruitment at oasis healthcare,02/27/2023,oasis healthcare
head of car sales at cars45,02/25/2023,cars45
submit cv s new recruitment at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive nyeri at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive meru at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive laikipia at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive nyandarua at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive nakuru at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive narok at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive bomet at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive kericho at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
accountant lodges at frank management consult ltd,02/28/2023,frank management consult ltd
internal motor assessor at hcs africa,02/28/2023,hcs africa
managing director ceo at geothermal development company gdc ,02/28/2023,geothermal development company gdc 
wv somalia program development and quality assurance director at world vision kenya,02/28/2023,world vision kenya
administrative officer at unicef,02/28/2023,unicef
team leader at ihuman resource consulting ltd ihr ,02/28/2023,ihuman resource consulting ltd ihr 
broker support at cigna,02/28/2023,cigna
fundraising manager at book bunk,02/28/2023,book bunk
assistant accountant international at action aid,02/28/2023,action aid
head of academics at aga khan education service kenya akesk ,02/28/2023,aga khan education service kenya akesk 
hr manager hospitality at corporate staffing,02/28/2023,corporate staffing
tailor at corporate staffing,02/28/2023,corporate staffing
submit cv s new recruitment at juja road hospital,02/24/2023,juja road hospital
submit cv s latest recruitment at kca university kcau ,02/23/2023,kca university kcau 
submit cv s new recruitment at flexi personnel ltd,02/23/2023,flexi personnel
head of capability and development at wasoko,02/28/2023,wasoko
housekeeping supervisor at fairmont hotels resorts,02/28/2023,fairmont hotels resorts
senior resettlement assistant dadaab at united nations high commissioner for refugees unhcr ,02/28/2023,united nations high commissioner for refugees unhcr 
senior programme associate at united nations high commissioner for refugees unhcr ,02/28/2023,united nations high commissioner for refugees unhcr 
business manager at swift hands africa,02/28/2023,swift hands africa
assistant finance officer dadaab at united nations high commissioner for refugees unhcr ,02/28/2023,united nations high commissioner for refugees unhcr 
resettlement assistant at united nations high commissioner for refugees unhcr ,02/28/2023,united nations high commissioner for refugees unhcr 
project control associate kakuma at united nations high commissioner for refugees unhcr ,02/28/2023,united nations high commissioner for refugees unhcr 
purchase associate coordinator mmd administration at aga khan university hospital,02/28/2023,aga khan university hospital
laboratory technologist outreach clinic nyahururu at aga khan university hospital,02/28/2023,aga khan university hospital
medical officer outreach clinic nyahururu at aga khan university hospital,02/28/2023,aga khan university hospital
submit cv s latest recruitment at engineers board of kenya,02/28/2023,engineers board of kenya
principal accountant at engineers board of kenya,02/28/2023,engineers board of kenya
director corporate services at engineers board of kenya,02/28/2023,engineers board of kenya
manager corporate communications at engineers board of kenya,02/28/2023,engineers board of kenya
manager capacity building accreditation at engineers board of kenya,02/28/2023,engineers board of kenya
manager compliance and enforcement at engineers board of kenya,02/28/2023,engineers board of kenya
principal capacity building officer internship at engineers board of kenya,02/28/2023,engineers board of kenya
principal auditor at engineers board of kenya,02/28/2023,engineers board of kenya
principal planning officer at engineers board of kenya,02/28/2023,engineers board of kenya
senior records management officer at engineers board of kenya,02/28/2023,engineers board of kenya
submit cv s new recruitment at palladium international,02/23/2023,palladium international
submit cv s latest recruitment at path,02/22/2023,path
submit cv s new recruitment at genesis analytics,02/22/2023,genesis analytics
principal supply chain management officer at engineers board of kenya,02/28/2023,engineers board of kenya
regional change management officer business transformation p3 at international organization for migration iom ,02/28/2023,international organization for migration iom 
cicc sales and marketing officer at bible translation and literacy,02/28/2023,bible translation and literacy
office assistants pre school assistant grade kpa 10 at kenya ports authority,02/28/2023,kenya ports authority
pre school teachers grade kpa 9 at kenya ports authority,02/28/2023,kenya ports authority
technical manager at tavevo water and sewerage company limited,02/28/2023,tavevo water and sewerage company limited
business manager at swift hands africa,02/28/2023,swift hands africa
pharmacy technician at medecins sans frontieres msf ,02/28/2023,medecins sans frontieres msf 
hp supervisor at medecins sans frontieres msf ,02/28/2023,medecins sans frontieres msf 
purchase to pay specialist at dhl,02/28/2023,dhl
party chief at millennium water alliance,02/28/2023,millennium water alliance
senior manager big data cvm at safaricom kenya,02/28/2023,safaricom kenya
sales team lead kitui at sunculture kenya ltd,02/28/2023,sunculture kenya ltd
sales team lead embu at sunculture kenya ltd,02/28/2023,sunculture kenya ltd
service center associate matunda at sunculture kenya ltd,02/28/2023,sunculture kenya ltd
aml compliance specialist at ncba group,02/28/2023,ncba group
senior bank officer business development and marketing at development bank of kenya,02/28/2023,development bank of kenya
submit cv s new recruitment at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior office administrator at national environment management authority nema ,02/28/2023,national environment management authority nema 
principal information communication technology officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
principal supply chain management officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
submit cv s new recruitment at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
submit cv s latest recruitment at flexi personnel,02/21/2023,flexi personnel
submit cv s new recruitment at monarch boutique hotel,02/21/2023,monarch boutique hotel
principal environment officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal information communication technology officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal corporate communication officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal accountant at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal environmental compliance officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal environmental research officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal internal audit at national environment management authority nema ,02/28/2023,national environment management authority nema 
deputy director internal audit at national environment management authority nema ,02/28/2023,national environment management authority nema the national environment management authority nema is established under the environmental management and co ordination act no 8 of 1999 emca as the principlal instrument of goverment for the implementation of all policies relating to environment emca 1999 was enacted against a backdrop of 78 sectoral laws dealing with various components of the environment the deteriorating state of kenya s environment as well as increasing social and economic inequalities the combined effect of which negatively impacted on the environment the supreme objective underlying the enactment of emca 1999 was to bring harmony in the management of the country s environment 
deputy director ecosystems management at national environment management authority nema ,02/28/2023,national environment management authority nema 
deputy director environmental education awareness at national environment management authority nema ,02/28/2023,national environment management authority nema 
cs director legal services at national environment management authority nema ,02/28/2023,national environment management authority nema 
labourer ii 2700 positions at nairobi county,02/27/2023,nairobi county
labourer i 300 positions at nairobi county,02/27/2023,nairobi county
clerical officer ii 37 positions at nairobi county,02/27/2023,nairobi county
chief environment officer 12 positions at nairobi county,02/27/2023,nairobi county
environmental officer 85 positions at nairobi county,02/27/2023,nairobi county
inspection manager at crown agents ltd,02/27/2023,crown agents ltd
junior architect at west kenya real estate ltd,02/27/2023,west kenya real estate ltd
finance and office assistant at amnesty international,02/27/2023,amnesty international
advocacy manager ieh at christian blind mission cbm ,02/27/2023,christian blind mission cbm 
regional ntd programme manager at christian blind mission cbm ,02/27/2023,christian blind mission cbm 
submit cv s new recruitment at gap recruitment services limited,02/20/2023,gap recruitment services limited
automotive price analyst at cars45,02/20/2023,cars45
submit cv s latest recruitment at jomo kenyatta university of agriculture technology,02/20/2023,jomo kenyatta university of agriculture technology
humanitarian inclusion advisor at christian blind mission cbm ,02/27/2023,christian blind mission cbm 
dentist taita taveta at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
community oral health officer taita taveta at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
nurse taita taveta at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
laboratory technologist taita taveta at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
pharmaceutical technologist taita taveta at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
community oral health officer nkubu at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
pharmaceutical technologist athi river at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
digital marketer at stedmak gardens and recreational centre,02/27/2023,stedmak gardens and recreational centre
sales executive at lipa later limited,02/27/2023,lipa later limited
trade development representative at hcs africa,02/27/2023,hcs africa
manager compliance and anti money laundering at absa bank limited,02/27/2023,absa bank limited
senior business intelligence bi developer at ncba group,02/27/2023,ncba group
head of business development at ncba group,02/27/2023,ncba group
data engineer at ncba group,02/27/2023,ncba group
senior core banking t24 developer at ncba group,02/27/2023,ncba group
business intelligence bi developer at ncba group,02/27/2023,ncba group
social studies teacher at makini high school,02/27/2023,makini high school
intern sustainable finance i at un habitat,02/27/2023,un habitat
submit cv s new recruitment at nairobi city county public service board,02/20/2023,nairobi city county public service board
submit cv s latest recruitment at plan international,02/17/2023,plan international
submit cv s latest recruitment at sbm bank,02/16/2023,sbm bank
intern human resources assistant i at united nations office at nairobi unon ,02/27/2023,united nations office at nairobi unon 
terms of reference for consultancy to develop an east africa online learning platform at kenya community development foundation,02/27/2023,kenya community development foundation
pp 1 pp2 apprentice teachers maternity covers at nova pioneer,02/27/2023,nova pioneer
grade 1 resident maternity cover teacher at nova pioneer,02/27/2023,nova pioneer
group data protection officer at koko networks,02/27/2023,koko networks
financial reporting accounts assistant ebkl at equity bank kenya,02/27/2023,equity bank kenya
service point advisor at dhl,02/27/2023,dhl
screen printing expert at comways foundation,02/27/2023,comways foundation
tailors 2 positions at comways foundation,02/27/2023,comways foundation
graphic designer 2 positions at comways foundation,02/27/2023,comways foundation
i t assistant 2 positions at comways foundation,02/27/2023,comways foundation
photographer 2 positions at comways foundation,02/27/2023,comways foundation
sales person 2 positions at comways foundation,02/27/2023,comways foundation
secretary 1 position at comways foundation,02/27/2023,comways foundation
computer studies tutor 1 position at comways foundation,02/27/2023,comways foundation
project psychologist at alika health initiative,02/27/2023,alika health initiative
administration assistant dadaab at terre des hommes tdh ,02/27/2023,terre des hommes tdh 
health coordinator at terre des hommes tdh ,02/27/2023,terre des hommes tdh 
qssk dgm dsm depot sales manager at q sourcing servtec group,02/27/2023,q sourcing servtec group
submit cv s new recruitment at moi university,02/15/2023,moi university
human resource coordinator at wetu,02/15/2023,wetu
senior business development manager nairobi at the kenyan alliance insurance,02/13/2023,the kenyan alliance insurance
qssk mo smo sales and marketing officer at q sourcing servtec group,02/27/2023,q sourcing servtec group
sales associate at jumba,02/27/2023,jumba
accounts assistant at corporate staffing,02/27/2023,corporate staffing
nurse at medecins sans frontieres msf ,02/27/2023,medecins sans frontieres msf 
gender rights and justice campaigner at oxfam,02/27/2023,oxfam
solutions developer business intelligence at save the children,02/27/2023,save the children
radio network planning and optimization technician at poa internet,02/27/2023,poa internet
senior java software engineer at presta capital ltd,02/27/2023,presta capital ltd
mind skills coach nairobi at lvct health,02/27/2023,lvct health
mind skills coach mombasa at lvct health,02/27/2023,lvct health
assistant accountant international at action against hunger international,02/27/2023,action against hunger international
deputy regional representative for africa programs at church world service cws ,02/27/2023,church world service cws 
operations director africa region at path,02/27/2023,path
assistant sign language interpreter 8 2 positions at national council for persons with disabilities,02/27/2023,national council for persons with disabilities
driver at national council for persons with disabilities,02/27/2023,national council for persons with disabilities
security officer at action against hunger international,02/27/2023,action against hunger international
accounts intern at africa digital media institute admi ,02/27/2023,africa digital media institute admi 
treasury and payments finance manager at one acre fund,02/27/2023,one acre fund
consultant family physician family medicine at aga khan university aku ,02/27/2023,aga khan university aku 
assistant manager procurement at wts energy,02/27/2023,wts energy
pharmaceutical technician at international rescue committee irc ,02/27/2023,international rescue committee irc 
business development officer at the kenyan alliance insurance,02/13/2023,the kenyan alliance insurance
head of internal audit risk compliance at inuka africa ltd,02/11/2023,inuka africa ltd
branch supervisor micro agri at inuka africa ltd,02/11/2023,inuka africa ltd
real estate salesperson at stellar human resource solutions,02/27/2023,stellar human resource solutions
wash specialist infection prevention and control in emergencies p3 p4 noc nod ebola response at unicef,02/27/2023,unicef
child protection in emergencies mental health and psychosocial support mhpss specialist p3 noc ebola response at unicef,02/27/2023,unicef
wash officer p2 nob ebola response at unicef,02/27/2023,unicef
emergency ebola coordinator p 4 nod ebola response at unicef,02/27/2023,unicef
field coordinator p3 noc ebola response at unicef,02/27/2023,unicef
child protection in emergency officer cpie nob p2 ebola response at unicef,02/27/2023,unicef
child protection gender based violence in emergency gbvie specialist noc p3 ebola response at unicef,02/27/2023,unicef
health epidemiology specialist p3 noc ebola response at unicef,02/27/2023,unicef
health emergency specialist p3 noc ebola response at unicef,02/27/2023,unicef
emergency health specialist p3 p4 noc nod ebola response at unicef,02/27/2023,unicef
integrated outbreak analytics cell manager p4 nod ebola response rosters at unicef,02/27/2023,unicef
nutrition specialist nutrition coordination p3 noc rapid response at unicef,02/27/2023,unicef
total rewards manager at britam,02/27/2023,britam
golf course superintendent at karen country club,02/27/2023,karen country club
assistant green keeper at karen country club,02/27/2023,karen country club
content growth manager at safaricom kenya,02/27/2023,safaricom kenya
enterprise architecture lead at safaricom kenya,02/27/2023,safaricom kenya
m pesa capability development officer at safaricom kenya,02/27/2023,safaricom kenya
social media intern at search for common ground sfcg ,02/27/2023,search for common ground sfcg 
loan officer at inuka africa ltd,02/11/2023,inuka africa ltd
telcallers at ewomennetwork kenya,02/10/2023,ewomennetwork kenya
submit cv s latest recruitment at farsight africa group,02/09/2023,farsight africa group
driver rider at mater hospital,02/27/2023,mater hospital
ambulance operator at mater hospital,02/27/2023,mater hospital
security wardens 200 posts at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
youth polytechnic instructor agri business 2 posts at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
youth polytechnic instructor information communication technology 1 post at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
youth polytechnic instructor metal processing technology 3 posts at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
youth polytechnic instructor fashion design and garment making 4 posts at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
youth polytechnic instructor hairdressing and beauty therapy 2 posts at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
youth polytechnic instructor building technology masonry 11 posts at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
youth polytechnic instructor automotive technology 2 posts at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
youth polytechnic instructor electrical and electronics 7 posts at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
deputy county secretary at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
nurse homa bay at oasis healthcare,02/27/2023,oasis healthcare
nurse siaya at oasis healthcare,02/27/2023,oasis healthcare
patient healthcare assistant homa bay at oasis healthcare,02/27/2023,oasis healthcare
patient healthcare assistant kisii at oasis healthcare,02/27/2023,oasis healthcare
patient healthcare assistant siaya at oasis healthcare,02/27/2023,oasis healthcare
laboratory manager at oasis healthcare,02/27/2023,oasis healthcare
human resource officer kisii at oasis healthcare,02/27/2023,oasis healthcare
human resource officer nairobi at oasis healthcare,02/27/2023,oasis healthcare
deputy administrator webuye at oasis healthcare,02/27/2023,oasis healthcare
deputy administrator homa bay at oasis healthcare,02/27/2023,oasis healthcare
deputy administrator siaya at oasis healthcare,02/27/2023,oasis healthcare
power infrastructure engineer at tatu city limited,02/27/2023,tatu city limited
fundraising officer at awareness against human trafficking haart kenya,02/27/2023,awareness against human trafficking haart kenya
health project officer at kasha kenya,02/27/2023,kasha kenya
program manager genetic resources program africa at international maize and wheat improvement center cimmyt ,02/27/2023,international maize and wheat improvement center cimmyt 
monitoring evaluations and learning officer inclusion at sightsavers,02/27/2023,sightsavers
associate programme management officer p2 at united nations environment programme unep ,02/27/2023,united nations environment programme unep 
head of university admissions at summit recruitment and search,02/27/2023,summit recruitment and search
medical representative at novartis,02/27/2023,novartis
teaching assistant at braeburn schools,02/27/2023,braeburn schools
physical education teacher hod at braeburn schools,02/27/2023,braeburn schools
office junior at braeburn schools,02/27/2023,braeburn schools
senior monitoring and evaluation officer at seefar,02/27/2023,seefar
accountant at corporate staffing,02/27/2023,corporate staffing
sales executive at stellar human resource solutions,02/27/2023,stellar human resource solutions
sales representative hardware division projects construction at frank management consult ltd,02/27/2023,frank management consult ltd
dealer sales at frank management consult ltd,02/27/2023,frank management consult ltd
product marketing manager at frank management consult ltd,02/27/2023,frank management consult ltd
tour consultant at crystal recruit,02/27/2023,crystal recruit
restaurant operations lead at ando,02/27/2023,ando
commercial manager kenya at pula,02/27/2023,pula
global field operations manager at pula,02/27/2023,pula
revenue accountant at canonical,02/27/2023,canonical
head chef at stedmak gardens and recreational centre,02/27/2023,stedmak gardens and recreational centre
resettlement intake associate at hias refugee trust of kenya,02/27/2023,hias refugee trust of kenya
resettlement specialist at hias refugee trust of kenya,02/27/2023,hias refugee trust of kenya
resettlement communications officer at hias refugee trust of kenya,02/27/2023,hias refugee trust of kenya
resettlement officer at hias refugee trust of kenya,02/27/2023,hias refugee trust of kenya
global support assistant at luminate,02/27/2023,luminate
relationship manager sme coast at gulf african bank,02/27/2023,gulf african bank
security officer at abc bank african banking corporation limited ,02/27/2023,abc bank african banking corporation limited 
child poverty climate and urban director at save the children,02/27/2023,save the children
senior interpreter chinese p5 at united nations office at nairobi unon ,02/27/2023,united nations office at nairobi unon 
intern information technology i at united nations environment programme unep ,02/27/2023,united nations environment programme unep 
senior manager data strategy analytics east africa at old mutual kenya,02/27/2023,old mutual kenya
finance controller at beiersdorf,02/27/2023,beiersdorf
team leader at chemonics international,02/27/2023,team leader at chemonics international
software engineer app stores backend at canonical,02/27/2023,canonical
sales and marketing executive at ital global,02/24/2023,ital global
baseline assessment for the coffee project under the pathways to prosperity program at solidaridad eastern central africa expertise centre secaec ,02/24/2023,solidaridad eastern central africa expertise centre secaec 
baseline assessment for the gold project under the pathways to prosperity program at solidaridad eastern central africa expertise centre secaec ,02/24/2023,solidaridad eastern central africa expertise centre secaec 
f b supervisor at sovereign hotel limited,02/24/2023,sovereign hotel limited
human resources officer p3 at un habitat,02/24/2023,un habitat
growth hacker at flare emergency response,02/24/2023,flare emergency response
radiographer iii at county public service board of bungoma,02/24/2023,county public service board of bungoma
orthopedic trauma technologist iii at county public service board of bungoma,02/24/2023,county public service board of bungoma
medical engineering technologist iii 5 positions at county public service board of bungoma,02/24/2023,county public service board of bungoma
orthopedic trauma technologist ii at county public service board of bungoma,02/24/2023,county public service board of bungoma
ngos refugee working group representative at danish refugee council drc ,02/24/2023,danish refugee council drc 
climate resilience project officer at arid lands information network alin ,02/24/2023,arid lands information network alin 
request for expession of interest for the development of livelihood and economic empowerment strategy and gender action plan at the green belt movement,02/24/2023,the green belt movement
donuts programme kenya roses project baseline study at fairtrade international,02/24/2023,fairtrade international
donuts programme kenya coffee project baseline study at fairtrade international,02/24/2023,fairtrade international
trade development representative at poa internet,02/24/2023,poa internet
finance officer at africa digital media institute admi ,02/24/2023,africa digital media institute admi 
submit cv s latest recruitment at jubilee insurance,02/24/2023,jubilee insurance
bancassurance sales officer bungoma at jubilee insurance,02/24/2023,jubilee insurance
bancassurance sales officer kericho at jubilee insurance,02/24/2023,jubilee insurance
bancassurance sales officer nakuru at jubilee insurance,02/24/2023,jubilee insurance
bancassurance sales officer nyeri at jubilee insurance,02/24/2023,jubilee insurance
bancassurance sales officer eldoret at jubilee insurance,02/24/2023,jubilee insurance
bancassurance sales officer mombasa at jubilee insurance,02/24/2023,jubilee insurance
lab technologists at juja road hospital,02/24/2023,juja road hospital
house keeper at juja road hospital,02/24/2023,juja road hospital
cook at juja road hospital,02/24/2023,juja road hospital
nurses at juja road hospital,02/24/2023,juja road hospital
clinical officer at juja road hospital,02/24/2023,juja road hospital
accounts assistant at juja road hospital,02/24/2023,juja road hospital
storekeeper at juja road hospital,02/24/2023,juja road hospital
office admin receptionist at juja road hospital,02/24/2023,juja road hospital
sourcing officer at mwingi,02/24/2023,mwingi
senior developer typescript at summit recruitment and search,02/24/2023,summit recruitment and search
hospital accountant kisumu at summit recruitment and search,02/24/2023,summit recruitment and search
sales executive at summit recruitment and search,02/24/2023,summit recruitment and search
accounts receivable administrator automotive at summit recruitment and search,02/24/2023,summit recruitment and search
project manager break free project at plan international,02/24/2023,plan international
protocol assistant g4 at united nations office at nairobi unon ,02/24/2023,united nations office at nairobi unon 
part time school nurse tatu high schools at nova pioneer,02/24/2023,nova pioneer
carbon consultant at sunculture kenya ltd,02/24/2023,sunculture kenya ltd
partnerships and internationalization at danish refugee council drc ,02/24/2023,danish refugee council drc 
film programmer at manyatta screenings,02/24/2023,manyatta screenings
graphic designer at manyatta screenings,02/24/2023,manyatta screenings
finance assistant at the center for international health education and biosecurity ciheb ,02/24/2023,the center for international health education and biosecurity ciheb 
talent acquisition specialist at aga khan university aku ,02/24/2023,aga khan university aku 
dispatch clerk at kim fay east africa limited,02/24/2023,kim fay east africa limited
school inspection director new opportunities at newglobe,02/24/2023,newglobe
senior accountant general business at cic insurance,02/24/2023,cic insurance
product growth and marketing lead at northwave credit ltd,02/24/2023,northwave credit ltd
senior software engineer at microsoft,02/24/2023,microsoft
senior relationship manager at absa bank limited,02/24/2023,absa bank limited
it risk analyst at britam,02/24/2023,britam
environmental social and governance esg analyst at britam,02/24/2023,britam
associate legal counsel at one acre fund,02/24/2023,one acre fund
accountant at corporate staffing,02/24/2023,corporate staffing
tech sales manager at corporate staffing,02/24/2023,corporate staffing
agriculture engineer at corporate staffing,02/24/2023,corporate staffing
client service manager at verde edge consulting ltd,02/24/2023,verde edge consulting ltd
sales lead at walk in solutions,02/24/2023,walk in solutions
senior public health specialist team lead hiv prevention at embassy of the united states,02/24/2023,embassy of the united states
apprenticeship programs electrical and electronic engineer at opibus roam ,02/24/2023,opibus roam 
apprenticeship programs urban planning at opibus roam ,02/24/2023,opibus roam 
apprenticeship programs mechanical engineer at opibus roam ,02/24/2023,opibus roam 
apprenticeship programs business analyst at opibus roam ,02/24/2023,opibus roam 
product manager transit at opibus roam ,02/24/2023,opibus roam 
locum dental surgeon outreach clinic meru at aga khan university hospital,02/24/2023,aga khan university hospital
occupational therapist at aga khan university hospital,02/24/2023,aga khan university hospital
quality advisor quality department at aga khan university hospital,02/24/2023,aga khan university hospital
examinations associate 2 positions at strathmore university,02/24/2023,strathmore university
nphi technical officer eastern rcc at amref kenya,02/24/2023,amref kenya
trade development representative at hcs africa,02/24/2023,hcs africa
chief executive officer at lake victoria north water services board,02/24/2023,lake victoria north water services board
lecturer in computing and informatics at mount kenya university,02/24/2023,mount kenya university
information systems librarian at mount kenya university,02/24/2023,mount kenya university
lecturer in accounting and finance at mount kenya university,02/24/2023,mount kenya university
infection prevention and control nurse 3 positions at university of nairobi,02/24/2023,university of nairobi
operations manager ride hailing at bolt,02/24/2023,bolt
analyst development impact at fsd africa,02/24/2023,fsd africa
labour desk administrator at tatu city limited,02/24/2023,tatu city limited
corporate communications officer at the kenya extended producer responsibility organization,02/24/2023,the kenya extended producer responsibility organization
regional pss sel education manager at norwegian refugee council nrc ,02/24/2023,norwegian refugee council nrc 
research data analysis manager at loreal,02/24/2023,loreal
customer success officer at power financial wellness,02/24/2023,power financial wellness
executive director structured solutions cash management at standard chartered bank kenya,02/24/2023,standard chartered bank kenya
customer experience manager at basigo,02/24/2023,basigo
contact centre lead at securex,02/24/2023,securex
technical administrator at securex,02/24/2023,securex
client relations manager at mp shah hospital,02/24/2023,mp shah hospital
av ventures communications specialist slc at acdi voca,02/24/2023,acdi vocathis assignment will last for 6 months and will be done via collaboration with the av ventures kenya office works to support the development of the global podcast series with topical research speakers research and virtual event organization generates original content in english as directed and in coordination with the director for partnerships and investments disseminates the essence of the podcast series throughout the different online properties and distribution channels and work to organize the translation of the materials in the languages of focus for av ventures supports the design and implementation of the marketing and communications campagins on social media and relevant blogs qualifications graduate ph d student or recent graduate in communications marketing or another related program experience work or educational experience with social media campaigns developing marketing materials as well as podcast development proficient computer skills including ms word excel and powerpoint in addition to adobe photoshop illustrator facebook linkedin instagram etc previous experience working in kenya is preferred but not required
pastry chef laikipia at fairmont hotels resorts,02/24/2023,fairmont hotels resorts
doorman laikipia at fairmont hotels resorts,02/24/2023,fairmont hotels resorts
criminal intelligence analyst enact nairobi at interpol,02/24/2023,interpol
senior legal assistant at international finance corporation ifc ,02/24/2023,international finance corporation ifc 
information systems officer noc at united nations office at nairobi unon ,02/24/2023,united nations office at nairobi unon 
accountant icrisat at center for international forestry research cifor ,02/24/2023,center for international forestry research cifor 
finance assistant at international federation of red cross and red crescent societies ifrc ,02/24/2023,international federation of red cross and red crescent societies ifrc 
web design and developer 5 positions at urban kreative,02/24/2023,urban kreative
sales and marketing executives 5 positions at urban kreative,02/24/2023,urban kreative
actuarial analyst product development at icea lion group,02/23/2023,icea lion group
afford assessment lead and technical advisor global technical services at nutrition international,02/23/2023,nutrition international
room steward at technical university of mombasa,02/23/2023,technical university of mombasa
human resources business partner at the coca cola company,02/23/2023,the coca cola company
technical integration officer at gold star kenya,02/23/2023,gold star kenya
education coordinator at save the children,02/23/2023,save the children
senior tax advisor accounting compliance and reporting services at ernst young,02/23/2023,ernst young
project accountant at north star alliance,02/23/2023,north star alliance
glf multimedia consultant at center for international forestry research cifor ,02/23/2023,center for international forestry research cifor 
lead mel impact manager at corporate staffing,02/23/2023,corporate staffing
management analyst at embassy of the united states,02/23/2023,embassy of the united states
data specialist ovc and dreams at path,02/23/2023,path
tender notice for experienced interior designer and contractor at practical action kenya,02/23/2023,practical action kenya
tender notice for interior designer and contractor at practical action kenya,02/23/2023,practical action kenya
schools project manager at british council,02/23/2023,british council
counsellor at the nairobi women s hospital,02/23/2023,the nairobi women s hospital
hr officer payroll and benefit at the nairobi women s hospital,02/23/2023,the nairobi women s hospital
digital marketing executive at amedo centres,02/23/2023,amedo centres
accounts assistant at amedo centres,02/23/2023,amedo centres
agricultural systems scientist at international potato center,02/23/2023,international potato center
part time lecturer in health awareness 2 positions at kca university kcau ,02/23/2023,kca university kcau 
part time lecturer in english at kca university kcau ,02/23/2023,kca university kcau 
part time lecturer in geography 2 positions at kca university kcau ,02/23/2023,kca university kcau 
part time lecturer in criminology 2 positions at kca university kcau ,02/23/2023,kca university kcau 
part time lecturer subject methods in literature at kca university kcau ,02/23/2023,kca university kcau 
part time lecturer subject methods in english at kca university kcau ,02/23/2023,kca university kcau 
